Nazwisko;partia;wiek;pln;obce;nieruchomości;ruchomości;akcje;kredyty;płeć;wykształcenie;PZPR;głosy;kampania;pozycja_lista;emerytura;dochody
Adamowicz Madzia;PO;46;176185,91;56314,94;1284000;97000;2347166,66;918431;2;3;0;199591;;2;;
Arłukowicz Bartek;PO;47;179013,81;860,93;2240750;;;1303403;1;2,5;0;239893;;2;;
Balt Marco;SLD;46;398500;86290;460000;;202804,9;696625,54;1;2,5;0;45043;;2;;
Belka Marco;SLD;67;870000;1449480;1450000;;;100000;1;4;1;182517;;1;83000;
Biedroń Bercik;Wiosna;43;174961,8;0;540000;;;0;1;2;1;96388;;1;;
Bielan Adaś;PiS;45;330000;683,4;2225000;;379000;0;1;2;-1;207845;;1;;
Brudziński Joachim;PiS;51;61000;0;230000;70000;;0;1;2;0;185168;;1;;
Buzek Jurek;PO;79;;1273100;2140000;;;0;1;4,5;-1;422445;;1;60000;
Cimoszewicz Włodek;SLD;69;335000;10050;1500000;;;0;1;3;1;219677;;1;90000;
Czarnecki Ryś;PiS;56;829502;47043,24;3640000;;;0;1;2;-1;134629;;2;;
Duda Jarek;PO;55;21664,04;0;0;;11276,07;287280,26;1;2;0;77611;;2;;
Fotyga Andzia;PiS;62;923,8;281870,96;800000;;35220,52;47600;2;2;-1;160517;;1;;
Frankowski Tom;PO;35;650000;2195;4700000;;250000;2786000;1;1;0;125845;;1;;
Thun Róża;SLD;65;11270;600911,01;2750000;;;0;2;2;-1;221279;;1;;
Halicki Endrju;PO;58;22000;16519;3850000;;;284263;1;2;-1;87422;;2;;
Hetman Chris;PSL;45;;2074293;1109000;;;547986,87;1;2;0;105908;;1;;
Huebner Danuśka;PO;71;370000;4020014;1500000;;5500;300000;2;4;1;146746;;4;;
Jaki Patryk;PiS;34;474000;1756;0;48000;156000;0;1;2;0;258366;;3;;
Jarubas Adam;PSL;45;50000;0;700000;;;340749,51;1;3;0;138854;;2;;
Jurgiel Christopher;PiS;66;245000;0;520000;;;0;1;2,5;-1;104592;;2;7300;
Kalinowski Jarek;PSL;57;180000;70240;2120000;;;6000;1;2;0;104216;;1;;
Karski Adam;PiS;53;1600000;5282999,2;2520000;;135000;0;1;4;1;184054;;1;;
Kempa Beatka;PiS;53;4280,72;0;870000;;643,01;589322,74;2;2;1;209305;;2;;
Kloc Izka;PiS;56;;0;1800000;;;395900,31;2;2;0;78352;;3;;
Kohut Łukasz;Wiosna;37;32000;0;0;;;0;1;2;0;48783;;1;;
Kopacz Ewka;PO;63;36000;11242,2;400000;;;292964,37;2;2,5;1;252032;;1;20000;
Kopcińska Asia;PiS;52;50000;0;1000000;;;115508,38;2;2,5;0;130358;;2;;
Krasnodębski Zdziś;PiS;66;3264;10509,66;1702120;;;0;1;4;0;164034;;1;2323,72;
Kruk Ela;PiS;60;170000;0;550000;;;0;2;2;-1;164108;;1;;
Kuźmiuk Zbyś;PiS;63;886000;3144998;1720000;;;0;1;3;0;134405;;3;;
Legutko Ryś;PiS;70;100000;192050;2150000;;;0;1;4;0;65710;;2;;
Lewandowski Januż;PO;68;1549000;994904,3;2095000;;;0;1;3;-1;120990;;1;;
Liberadzki Boguś;SLD;71;21900;75508;7425000;;;785000;1;4;1;99897;;1;46360;
Łukacijewska Ela;PO;53;33298,16;840731,84;1588965,5;;;227121,36;2;2;0;40737;;10;;
Mazurek Beatka;PiS;52;45000;0;230000;;;0;2;2;0;204693;;2;;
Miller Leshke;SLD;73;488000;23358;1560000;421000;40;0;1;0;1;79380;;2;;
Możdżanowska Angela;PiS;43;62000;878;350000;;;113349,54;2;2;0;76953;;2;;
Ochojska-Okońska Jaśka;PO;64;20153,06;0;70000;;;0;2;2;-1;307227;;1;;
Olbrycht Jaś;PO;67;50000;17560;801000;;;726500;1;3;0;69009;;4;21046,9;
Poręba Tomcio;PiS;46;16000;263400;2710600;;;0;1;2;0;276014;;1;;
Rafalska Elisabeth;PiS;64;140000;0;370000;;;200000;2;2;0;70916;;3;;
Rzońca Bodzio;PiS;58;30000;0;510000;;60000;35000;1;2;0;64113;;2;;
Saryusz-Wolski Cunio;PiS;71;80000;746300;1400000;110000;;0;1;3;-1;186851;;1;61139,5;
Sikorski Radek;PO;56;1208442;1281660;8700000;;;30375;1;2;-1;129339;;1;;
Spurek Sylwuś;Wiosna;43;152599;0;1000000;;;871400;2;3;0;55306;;1;;
Szydło Beatka;PiS;56;28363,2;353,83;700000;43000;;0;2;2;0;525811;;1;;
Tobiszowski Grześ;PiS;54;64000;0;559036;;12742,85;0;1;2;0;65007;;2;;
Waszczykowski Witek;PiS;62;115000;0;400000;;60000;0;1;3;0;168021;;1;;
Wiśniewska Jadźka;PiS;56;96000;1473250;1605000;;;0;2;2;0;409373;;1;;
Zalewska Ania;PiS;54;62473,89;0;582110;82600;21459,82;0;2;2;0;168337;;1;;
Złotowski Kosma;PiS;55;25000;85765,24;1150000;;;0;1;2;0;107113;;1;;
